Bureau,Geo,Nom,Inscrits,Votants,Nuls,Blancs,Exprimé,ROSE,CORADEL,FRIGOUT,QUENARD,ROBINET,MURA,LANG
502,"[49.27314579999999, 4.0299438]",Bureau 502 - Ecole Maternelle Desbureaux,1025,470,0,2,468,12,37,102,91,192,7,27
503,"[49.2757611, 4.0312054]",Bureau 503 - Ecole Maternelle SNCF,846,357,2,2,353,13,27,113,36,147,2,15
504,"[49.2825992, 4.0296463]",Bureau 504 - Ecole Maternelle Charles Péguy,755,279,2,6,271,8,28,45,32,139,2,17
505,"[49.2803234, 4.024693699999999]",Bureau 505 - Ecole Maternelle Galliéni,930,252,2,5,245,3,44,62,42,72,11,11
506,"[49.2803234, 4.024693699999999]",Bureau 506 - Ecole Maternelle Galliéni,800,312,0,3,309,5,49,66,43,120,2,24
507,"[49.2783559, 4.0174511]",Bureau 507 - Ecole Maternelle Charpentier,866,226,1,0,225,8,22,57,21,95,5,17
508,"[49.285787, 4.005836]",Bureau 508 - Ecole Maternelle Neuvillette,528,279,3,2,274,7,13,79,37,118,1,19
509,"[49.28582160000001, 4.005306099999999]",Bureau 509 - Ecole Elémentaire Neuvillette,694,348,1,2,345,5,10,99,60,147,3,21
510,"[49.28582160000001, 4.005306099999999]",Bureau 510 - Ecole Elémentaire Neuvillette,622,281,2,2,277,5,26,72,45,102,2,25
601,"[49.2775562, 4.008236]",Bureau 601 - Ecole Elémentaire Trois Fontaines,920,455,4,4,447,11,21,131,77,176,3,28
602,"[49.2775562, 4.008236]",Bureau 602 - Ecole Elémentaire Trois Fontaines,1021,404,5,1,398,8,35,98,67,163,1,26
603,"[49.2771131, 4.009837399999999]",Bureau 603 - Ecole Maternelle Trois Fontaines,1082,507,5,9,493,14,24,113,76,228,3,35
604,"[49.2652125, 4.0120224]",Bureau 604 - Ecole Elémentaire Charles Arnould,1160,646,8,4,634,15,42,113,113,304,6,41
605,"[49.2702785, 4.015445]",Bureau 605- Ecole Maternelle Jardelle,973,435,5,3,427,12,25,98,71,182,5,34
606,"[49.2763708, 4.0217862]",Bureau 606 - Ecole Elémentaire Jean Macé,1274,629,7,5,617,6,28,118,133,282,4,46
607,"[49.26773290000001, 4.025648299999999]",Bureau 607 - Salle Municipale Goulin,1050,471,2,0,469,2,38,106,102,190,1,30
608,"[49.26773290000001, 4.025648299999999]",Bureau 608 - Salle Municipale Goulin,1253,598,4,7,587,9,39,121,91,273,1,53
609,"[49.2653701, 4.0233921]",Bureau 609 - Ecole Elémentaire Anquetil,1250,568,6,5,557,10,73,87,114,239,5,29
610,"[49.26531319999999, 4.0214371]",Bureau 610 - Salle Municipale Saint-Thierry,980,488,3,3,482,9,33,76,91,231,6,36
